Tabela,Data,Kurs,Zmiana
189/A/NBP/2013,2013-09-30,3.1227,-0.32
190/A/NBP/2013,2013-10-01,3.117,-0.18
191/A/NBP/2013,2013-10-02,3.1212,0.13
192/A/NBP/2013,2013-10-03,3.0951,-0.84
193/A/NBP/2013,2013-10-04,3.0902,-0.16
194/A/NBP/2013,2013-10-07,3.0976,0.24
195/A/NBP/2013,2013-10-08,3.0873,-0.33
196/A/NBP/2013,2013-10-09,3.1057,0.6
197/A/NBP/2013,2013-10-10,3.0994,-0.2
198/A/NBP/2013,2013-10-11,3.085,-0.46
199/A/NBP/2013,2013-10-14,3.0936,0.28
200/A/NBP/2013,2013-10-15,3.0893,-0.14
201/A/NBP/2013,2013-10-16,3.0854,-0.13
202/A/NBP/2013,2013-10-17,3.0625,-0.74
203/A/NBP/2013,2013-10-18,3.0506,-0.39
204/A/NBP/2013,2013-10-21,3.062,0.37
205/A/NBP/2013,2013-10-22,3.0564,-0.18
206/A/NBP/2013,2013-10-23,3.0385,-0.59
207/A/NBP/2013,2013-10-24,3.0323,-0.2
208/A/NBP/2013,2013-10-25,3.0326,0.01
209/A/NBP/2013,2013-10-28,3.0271,-0.18
210/A/NBP/2013,2013-10-29,3.0436,0.55
211/A/NBP/2013,2013-10-30,3.0433,-0.01
212/A/NBP/2013,2013-10-31,3.0507,0.24
213/A/NBP/2013,2013-11-04,3.0975,1.53
214/A/NBP/2013,2013-11-05,3.0981,0.02
215/A/NBP/2013,2013-11-06,3.0896,-0.27
216/A/NBP/2013,2013-11-07,3.0844,-0.17
217/A/NBP/2013,2013-11-08,3.1133,0.94
218/A/NBP/2013,2013-11-12,3.1448,1.01
219/A/NBP/2013,2013-11-13,3.1358,-0.29
220/A/NBP/2013,2013-11-14,3.115,-0.66
221/A/NBP/2013,2013-11-15,3.1172,0.07
222/A/NBP/2013,2013-11-18,3.0953,-0.7
223/A/NBP/2013,2013-11-19,3.0925,-0.09
224/A/NBP/2013,2013-11-20,3.0947,0.07
225/A/NBP/2013,2013-11-21,3.1227,0.9
226/A/NBP/2013,2013-11-22,3.1077,-0.48
227/A/NBP/2013,2013-11-25,3.1019,-0.19
228/A/NBP/2013,2013-11-26,3.0945,-0.24
229/A/NBP/2013,2013-11-27,3.0899,-0.15
230/A/NBP/2013,2013-11-28,3.0872,-0.09
231/A/NBP/2013,2013-11-29,3.0846,-0.08
232/A/NBP/2013,2013-12-02,3.0965,0.39
233/A/NBP/2013,2013-12-03,3.0973,0.03
234/A/NBP/2013,2013-12-04,3.0916,-0.18
235/A/NBP/2013,2013-12-05,3.087,-0.15
236/A/NBP/2013,2013-12-06,3.0673,-0.64
237/A/NBP/2013,2013-12-09,3.0534,-0.45
238/A/NBP/2013,2013-12-10,3.0425,-0.36
239/A/NBP/2013,2013-12-11,3.0386,-0.13
240/A/NBP/2013,2013-12-12,3.0415,0.1
241/A/NBP/2013,2013-12-13,3.0432,0.06
